iter	Logloss
0	0.628959537
1	0.5931848781
2	0.561288655
3	0.539560941
4	0.5213446772
5	0.5052805559
6	0.4932916508
7	0.4829603236
8	0.4751534035
9	0.4683905936
10	0.4622883334
11	0.4579312796
12	0.4537936202
13	0.4502158811
14	0.4464028927
15	0.4415457327
16	0.4365886013
17	0.4337653841
18	0.4315556549
19	0.4296321684
20	0.4277727043
21	0.4272053888
22	0.4255188788
23	0.4204853656
24	0.4184215252
25	0.4164361424
26	0.4155375747
27	0.4142024073
28	0.4132334433
29	0.4116322376
30	0.4103776937
31	0.407407603
32	0.4064827088
33	0.4037930838
34	0.4031117437
35	0.4013370945
36	0.4002770601
37	0.3994087785
38	0.3986435214
39	0.3979054253
40	0.3964377408
41	0.3949013178
42	0.3937767781
43	0.3928697539
44	0.3920099195
45	0.3912593364
46	0.390375066
47	0.3897223449
48	0.3884063465
49	0.3871639891
50	0.3864071856
51	0.3849109145
52	0.3834548159
53	0.3822245922
54	0.3802115617
55	0.379169254
56	0.3784336174
57	0.3778453623
58	0.3767865983
59	0.3760869414
60	0.3750925098
61	0.3743524697
62	0.373609489
63	0.3728733932
64	0.3720586294
65	0.3713598378
66	0.3707824568
67	0.3701870563
68	0.3693547853
69	0.3689773669
70	0.3685147941
71	0.3679567332
72	0.3667520689
73	0.3664729026
74	0.3659501734
75	0.365573451
76	0.365105384
77	0.3643451183
78	0.3639361111
79	0.3629711407
80	0.3615740188
81	0.3601141221
82	0.3587646926
83	0.3579231073
84	0.3573898617
85	0.3565781846
86	0.355572052
87	0.3541255351
88	0.353288859
89	0.3525920601
90	0.3519746778
91	0.3515583626
92	0.3507498996
93	0.3492938772
94	0.3484182182
95	0.3479120844
96	0.3463462029
97	0.3457201489
98	0.3449168021
99	0.3433342576
100	0.3426239803
101	0.3418366865
102	0.340382221
103	0.3397222472
104	0.3384445816
105	0.337777216
106	0.3369425341
107	0.3360685428
108	0.3352626259
109	0.3348288369
110	0.3341649743
111	0.3333998083
112	0.3324744518
113	0.3312695003
114	0.3305113673
115	0.3298614974
116	0.3292182681
117	0.3283919207
118	0.327364541
119	0.3262753527
120	0.3254347404
121	0.3249398063
122	0.3244672943
