iter	Passed	Remaining
0	5	2824
1	11	2744
2	16	2744
3	21	2712
4	27	2716
5	33	2725
6	38	2725
7	44	2754
8	50	2766
9	57	2826
10	64	2885
11	71	2925
12	79	2984
13	86	3010
14	93	3024
15	100	3036
16	107	3043
17	115	3103
18	122	3110
19	131	3146
20	138	3153
21	143	3109
22	150	3118
23	156	3111
24	163	3112
25	170	3106
26	177	3115
27	184	3102
28	190	3091
29	196	3080
30	202	3063
31	208	3050
32	215	3044
33	221	3030
34	227	3022
35	233	3012
36	240	3009
37	246	2996
38	252	2984
39	258	2975
40	265	2967
41	271	2956
42	277	2950
43	283	2940
44	289	2926
45	295	2917
46	301	2906
47	307	2898
48	313	2888
49	319	2876
50	325	2869
51	332	2860
52	338	2851
53	344	2844
54	350	2834
55	356	2828
56	362	2818
57	368	2806
58	374	2801
59	380	2789
60	386	2780
61	392	2769
62	397	2758
63	403	2748
64	408	2736
65	414	2726
66	420	2720
67	426	2710
68	432	2700
69	438	2692
70	444	2682
71	449	2673
72	456	2669
73	461	2659
74	467	2650
75	473	2640
76	478	2629
77	484	2622
78	490	2612
79	496	2604
80	502	2599
81	508	2592
82	515	2590
83	522	2587
84	529	2583
85	536	2582
86	542	2577
87	548	2569
88	554	2562
89	560	2551
90	565	2543
91	571	2533
92	576	2523
93	581	2513
94	587	2505
95	593	2495
96	598	2487
97	604	2478
98	609	2468
99	615	2461
100	620	2451
101	626	2442
102	632	2437
103	638	2429
104	643	2422
105	650	2416
106	655	2408
107	661	2401
108	667	2393
109	672	2384
110	678	2377
111	683	2368
112	689	2359
113	694	2352
114	700	2344
115	705	2336
116	711	2329
117	717	2321
118	723	2314
119	729	2308
120	734	2301
121	740	2294
122	746	2288
123	752	2280
124	757	2273
125	763	2265
126	769	2258
127	774	2252
128	780	2246
129	787	2240
130	793	2235
131	799	2229
132	805	2223
133	812	2219
134	818	2213
135	824	2206
136	830	2201
137	836	2194
138	842	2188
139	849	2183
140	854	2176
141	861	2171
142	867	2164
143	873	2158
144	879	2152
145	885	2146
146	892	2142
147	898	2137
148	905	2133
149	912	2129
150	919	2124
151	925	2119
152	931	2113
153	938	2107
154	944	2102
155	951	2097
156	957	2092
157	963	2086
158	969	2079
159	975	2073
160	981	2066
161	986	2059
162	992	2051
163	998	2044
164	1003	2037
165	1009	2030
166	1014	2023
167	1020	2017
168	1026	2009
169	1031	2002
170	1037	1995
171	1043	1989
172	1049	1982
